Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
1.0,1.0,25884.0,1.0,33.63,118596.0,1.0,0.0,118595.0,125738.0,1.0,3.0,1.0,2.0,121374.0,-2.26643012503,1945.0,118450.0,119184.0,1.0,121372.0,1.0,1.0,1.0,2.0,1.0
2.0,1.0,34923.0,1.0,1.77,118327.0,1.0,0.0,117961.0,124402.0,1.0,2.0,1.0,1.0,118786.0,2.01556119067,7547.0,118933.0,290919.0,1.0,118784.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,31824.0,1.0,3.54,118300.0,1.0,0.0,117961.0,154949.0,1.0,3.0,1.0,1.0,119851.0,1.0,3085.0,125821.0,118638.0,1.0,119849.0,1.0,1.0,1.0,2.0,1.0
4.0,1.0,25889.0,1.0,3.54,118225.0,1.0,0.0,117961.0,120324.0,1.0,1.0,1.0,1.0,122850.0,1.0,3526.0,120323.0,119095.0,1.0,122849.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,80867.0,1.0,1.77,121006.0,1.0,0.0,121005.0,164523.0,1.0,10.0,1.0,6.0,122131.0,-1.64121178171,1383.0,118575.0,121916.0,1.0,122129.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,17225.0,1.0,23.01,118386.0,1.0,0.0,117961.0,269406.0,1.0,0.0,1.0,1.0,118399.0,1.9475571601400004,5249.0,123144.0,118398.0,1.0,118396.0,1.0,1.0,1.0,2.0,1.0
7.0,1.0,45142.0,1.0,1.77,118052.0,1.0,0.0,117961.0,121809.0,1.0,0.0,1.0,9.0,118639.0,-0.369776823823,15904.0,118053.0,118638.0,1.0,118636.0,1.0,1.0,1.0,9.0,1.0
8.0,1.0,100473.0,1.0,1.77,118343.0,1.0,0.0,117961.0,117906.0,1.0,0.0,1.0,1.0,117908.0,1.0,5244.0,119598.0,290919.0,1.0,117905.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,74301.0,1.0,1.77,117984.0,1.0,0.0,117983.0,117897.0,1.0,2.0,1.0,1.0,117880.0,2.00273167838,52481.0,117878.0,19721.0,1.0,117879.0,1.0,1.0,1.0,2.0,1.0
10.0,1.0,45236.0,1.0,3.54,118743.0,1.0,0.0,118742.0,117897.0,1.0,0.0,1.0,1.0,117900.0,-2.34981384381,64791.0,117884.0,19721.0,1.0,117899.0,1.0,1.0,1.0,5.0,1.0
11.0,1.0,39263.0,1.0,1.77,119428.0,1.0,0.0,118256.0,119359.0,1.0,0.0,1.0,1.0,117948.0,1.64089820429,32795.0,118623.0,292795.0,1.0,117946.0,1.0,1.0,1.0,4.0,1.0
12.0,1.0,35011.0,1.0,1.77,118413.0,1.0,0.0,117961.0,230830.0,1.0,0.0,1.0,4.0,127783.0,-1.96160974556,7370.0,118481.0,290919.0,1.0,127782.0,1.0,1.0,1.0,4.0,1.0
13.0,1.0,45789.0,1.0,5.31,118327.0,1.0,0.0,117961.0,279443.0,1.0,0.0,1.0,6.0,118779.0,-1.3280833963,50040.0,118391.0,308574.0,1.0,118777.0,1.0,1.0,1.0,6.0,1.0
14.0,1.0,27900.0,2.0,1.77,118115.0,1.0,0.0,118114.0,229187.0,2.0,0.0,1.0,1.0,121070.0,1.0,22369.0,117920.0,121069.0,1.0,121067.0,1.0,1.0,1.0,1.0,1.0
